age,income,gender,race,experience,education
54.0,54795,Female,Hispanic,24,PhD
59.0,456387,Female,Hispanic,31,Associate
53.0,115491,Female,Hispanic,11,Associate
,77199,Female,White,22,Bachelors
39.0,87033,Male,White,21,Masters
26.0,95574,Female,,38,Bachelors
28.0,25817,Female,Hispanic,17,Associate
26.0,20221,Female,Asian,33,PhD
29.0,90575,Male,Black,5,PhD
58.0,117248,Female,Asian,26,Bachelors
41.0,45825,Female,Hispanic,15,Masters
60.0,,Male,Hispanic,31,PhD
52.0,63279,Female,White,1,Bachelors
23.0,106951,Female,White,,Bachelors
47.0,114339,Male,Asian,15,Bachelors
22.0,86469,Female,White,37,Masters
,73528,Male,White,35,Associate
60.0,111384,Female,Black,27,Masters
30.0,36683,Female,White,35,Masters
55.0,107153,Female,Black,29,PhD
55.0,108777,Male,White,16,PhD
,42810,Male,Black,12,PhD
29.0,59446,Male,Asian,34,Associate
43.0,20053,Male,Black,11,Masters
29.0,47549,Female,White,30,Associate
22.0,96019,Male,Black,37,Associate
22.0,,Male,White,,Masters
33.0,77954,Male,Asian,6,Bachelors
26.0,87000,Female,Hispanic,18,PhD
55.0,116463,Female,Black,11,Bachelors
46.0,31114,Female,,34,PhD
29.0,107012,Female,Black,2,PhD
35.0,63933,Female,Asian,35,PhD
31.0,118453,Male,White,8,Masters
21.0,60687,Male,White,31,Associate
41.0,46100,Female,Hispanic,0,Masters
46.0,26057,Female,White,30,PhD
35.0,82277,Male,Asian,21,PhD
26.0,29545,Female,,3,Associate
22.0,102544,Female,Hispanic,30,Masters
34.0,114155,Male,Asian,4,Associate
49.0,84799,Female,Hispanic,4,PhD
34.0,39342,Female,Hispanic,3,Associate
32.0,20726,Female,Asian,36,PhD
37.0,33970,Female,Hispanic,5,Bachelors
37.0,48683,Male,Asian,7,PhD
52.0,111214,Female,Black,26,Associate
54.0,26582,Male,White,39,Bachelors
21.0,,Female,Hispanic,,PhD
36.0,80901,Female,Hispanic,28,PhD
